empid,name,salary,experience,date_of_joining
1001,Employee 1,50000,6,2022-07-16
1002,Employee 2,70000,2,2019-01-22
1003,Employee 3,80000,8,2018-12-02
1004,Employee 4,70000,7,2022-03-16
1005,Employee 5,60000,14,2019-07-03
1006,Employee 6,75000,6,2019-02-03
1007,Employee 7,50000,5,2016-05-10
1008,Employee 8,65000,4,2018-08-06
1009,Employee 9,65000,3,2018-07-04
1010,Employee 10,70000,8,2017-03-16
1011,Employee 11,60000,8,2019-07-29
1012,Employee 12,55000,5,2017-10-20
1013,Employee 13,75000,13,2018-04-21
1014,Employee 14,60000,5,2022-10-06
1015,Employee 15,55000,1,2021-08-24
1016,Employee 16,80000,2,2017-05-27
1017,Employee 17,80000,5,2019-05-29
1018,Employee 18,65000,7,2022-08-27
1019,Employee 19,55000,15,2017-03-24
1020,Employee 20,80000,15,2020-01-18
1021,Employee 21,70000,8,2021-05-09
1022,Employee 22,50000,8,2016-11-27
1023,Employee 23,60000,9,2018-11-27
1024,Employee 24,65000,10,2022-10-10
1025,Employee 25,65000,2,2022-03-31
1026,Employee 26,55000,8,2021-07-15
1027,Employee 27,50000,10,2020-05-14
1028,Employee 28,60000,14,2021-08-20
1029,Employee 29,80000,4,2021-12-16
1030,Employee 30,65000,10,2016-09-19
1031,Employee 31,65000,12,2019-08-18
1032,Employee 32,60000,7,2016-03-29
1033,Employee 33,65000,10,2020-12-05
1034,Employee 34,70000,7,2022-11-14
1035,Employee 35,55000,3,2018-02-07
1036,Employee 36,80000,6,2017-10-31
1037,Employee 37,55000,14,2017-07-01
1038,Employee 38,55000,8,2023-01-20
1039,Employee 39,60000,10,2017-05-06
1040,Employee 40,75000,8,2017-05-18
1041,Employee 41,80000,1,2019-02-08
1042,Employee 42,60000,15,2022-12-27
1043,Employee 43,65000,8,2020-03-02
1044,Employee 44,75000,5,2020-01-20
1045,Employee 45,70000,4,2021-12-27
1046,Employee 46,50000,8,2017-08-06
1047,Employee 47,60000,10,2016-09-10
1048,Employee 48,50000,14,2016-02-23
1049,Employee 49,55000,9,2021-11-26
1050,Employee 50,80000,6,2015-10-12
1051,Employee 51,80000,5,2021-02-13
1052,Employee 52,50000,5,2021-10-27
1053,Employee 53,55000,11,2016-10-29
1054,Employee 54,70000,2,2022-09-26
1055,Employee 55,70000,6,2023-02-15
1056,Employee 56,55000,12,2018-04-09
1057,Employee 57,55000,12,2017-04-26
1058,Employee 58,80000,3,2016-07-05
1059,Employee 59,65000,3,2020-04-11
1060,Employee 60,65000,11,2019-07-08
1061,Employee 61,60000,5,2021-12-31
1062,Employee 62,70000,11,2022-06-19
1063,Employee 63,50000,10,2015-05-29
1064,Employee 64,65000,6,2018-11-03
1065,Employee 65,55000,10,2016-03-10
1066,Employee 66,75000,11,2018-09-13
1067,Employee 67,70000,2,2023-02-13
1068,Employee 68,80000,1,2019-08-22
1069,Employee 69,50000,3,2018-07-27
1070,Employee 70,55000,13,2017-03-25
1071,Employee 71,65000,14,2021-01-01
1072,Employee 72,50000,9,2020-03-01
1073,Employee 73,80000,4,2018-01-13
1074,Employee 74,50000,8,2018-08-28
1075,Employee 75,75000,8,2021-06-18
1076,Employee 76,60000,5,2018-01-04
1077,Employee 77,70000,7,2016-12-17
1078,Employee 78,70000,13,2018-12-30
1079,Employee 79,55000,2,2022-04-23
1080,Employee 80,65000,6,2021-09-09
1081,Employee 81,70000,15,2018-12-22
1082,Employee 82,50000,13,2017-08-26
1083,Employee 83,60000,6,2016-10-17
1084,Employee 84,75000,3,2018-03-12
1085,Employee 85,70000,11,2018-10-17
1086,Employee 86,75000,10,2022-01-18
1087,Employee 87,60000,12,2022-10-20
1088,Employee 88,80000,3,2017-04-19
1089,Employee 89,60000,1,2021-10-07
1090,Employee 90,55000,1,2020-08-20
1091,Employee 91,75000,13,2017-12-26
1092,Employee 92,60000,11,2020-11-21
1093,Employee 93,50000,12,2017-12-14
1094,Employee 94,55000,9,2019-02-22
1095,Employee 95,70000,10,2022-04-16
1096,Employee 96,65000,5,2017-05-31
1097,Employee 97,55000,6,2020-02-20
1098,Employee 98,60000,9,2019-12-07
1099,Employee 99,70000,15,2022-09-23
1100,Employee 100,60000,15,2018-06-21
